matchId,blueTop,blueJungle,blueMid,blueADC,blueSupport,redTop,redJungle,redMid,redADC,redSupport,blueWin,blueTopMastery,blueTopRank,blueJungleMastery,blueJungleRank,blueMidMastery,blueMidRank,blueADCMastery,blueADCRank,blueSupportMastery,blueSupportRank,redTopMastery,redTopRank,redJungleMastery,redJungleRank,redMidMastery,redMidRank,redADCMastery,redADCRank,redSupportMastery,redSupportRank
KR_8159620577,Aatrox,LeeSin,Orianna,Caitlyn,Senna,KSante,Viego,Sylas,Ashe,Seraphine,0,73058.0,3.0,115604.0,3.0,514057.0,3.0,127744.0,3.0,93809.0,3.0,200560.0,3.0,57809.0,3.0,811478.0,3.0,164695.0,3.0,11468.0,3.0
KR_8159559052,Lucian,Sylas,Yone,Sivir,Rell,Yasuo,Urgot,Akali,Ziggs,Leona,0,72741.0,3.0,50627.0,3.0,1482663.0,3.0,16862.0,3.0,274958.0,3.0,7044.0,3.0,2436776.0,3.0,153750.0,3.0,1506.0,3.0,212833.0,3.0
KR_8158806433,Irelia,Shyvana,Akali,Jinx,Elise,Jayce,Ekko,Sylas,Jhin,Thresh,1,263628.0,3.0,2082.0,3.0,20323.0,3.0,94689.0,3.0,67648.0,3.0,215669.0,3.0,51627.0,3.0,53565.0,3.0,61957.0,3.0,1993884.0,3.0
KR_8158769086,Lulu,MasterYi,Ekko,Jhin,Karma,Anivia,Graves,Lissandra,Ashe,Pyke,1,792325.0,3.0,2458622.0,3.0,17325.0,3.0,14128.0,3.0,5802.0,3.0,44336.0,3.0,155017.0,3.0,14428.0,3.0,9674.0,3.0,51121.0,3.0
KR_8158743335,Vayne,Lillia,Talon,Yunara,Sion,RekSai,Olaf,Aurora,Mel,Pantheon,1,219029.0,3.0,28449.0,3.0,5763488.0,3.0,6122.0,3.0,3422421.0,3.0,64941.0,3.0,138950.0,3.0,148024.0,3.0,11220.0,3.0,104241.0,3.0
KR_8158608412,Fiora,JarvanIV,Galio,Yunara,Sion,KSante,Viego,Diana,Jhin,Rakan,0,25944.0,3.0,14519.0,3.0,15781.0,3.0,144310.0,3.0,3422421.0,3.0,984539.0,3.0,57809.0,3.0,429796.0,3.0,30880.0,3.0,6598.0,3.0
KR_8158551749,KSante,LeeSin,Malzahar,Yunara,Lulu,Velkoz,Naafiri,Vex,Vayne,Nami,0,984539.0,3.0,265871.0,3.0,35565.0,3.0,10800.0,3.0,1072634.0,3.0,978620.0,3.0,10651.0,3.0,205045.0,3.0,541662.0,3.0,6949.0,3.0
KR_8158497956,Jayce,Nocturne,Galio,Mel,Nautilus,Aatrox,Nidalee,Akali,Jhin,Zilean,0,49923.0,3.0,191502.0,3.0,73363.0,3.0,4489.0,3.0,204257.0,3.0,219812.0,3.0,32650.0,3.0,297574.0,3.0,120762.0,3.0,431767.0,3.0
KR_8158410288,Malphite,Graves,Ahri,Ezreal,Karma,Ryze,Viego,Lissandra,Ashe,Seraphine,1,30579.0,3.0,57266.0,3.0,143205.0,3.0,1498080.0,3.0,80745.0,3.0,117102.0,3.0,57809.0,3.0,832246.0,3.0,237153.0,3.0,30572.0,3.0
KR_8158337850,Jax,Viego,Leblanc,Cassiopeia,Leona,Kennen,Graves,Azir,Ezreal,Lulu,1,105089.0,3.0,68053.0,3.0,159057.0,3.0,896156.0,3.0,118892.0,3.0,525202.0,3.0,8440.0,3.0,168520.0,3.0,44523.0,3.0,158247.0,3.0
KR_8155356056,Vayne,Pantheon,Ambessa,Jhin,Nami,Cassiopeia,XinZhao,Anivia,Lucian,Milio,0,520947.0,3.0,26207.0,3.0,806466.0,3.0,194945.0,3.0,18723.0,3.0,1362986.0,3.0,151521.0,3.0,1480043.0,3.0,14317.0,3.0,51897.0,3.0
KR_8162000494,KSante,Graves,Ekko,Lucian,Milio,Ambessa,RekSai,Orianna,Draven,Alistar,0,1790639.0,3.0,388293.0,3.0,72694.0,3.0,682364.0,3.0,4605.0,3.0,490882.0,3.0,916127.0,3.0,242364.0,3.0,1189834.0,3.0,35241.0,3.0
KR_8159366942,Riven,Karthus,Viktor,Jhin,Xerath,Darius,Qiyana,Ahri,Jinx,Thresh,0,257768.0,3.0,554930.0,3.0,3022.0,3.0,11076.0,3.0,5700.0,3.0,3390884.0,3.0,339986.0,3.0,19540.0,3.0,129852.0,3.0,966427.0,3.0
KR_8159219014,Darius,Ambessa,Zoe,Ezreal,Anivia,MonkeyKing,Pantheon,Neeko,Zeri,Lulu,0,3390884.0,3.0,27621.0,3.0,145344.0,3.0,386841.0,3.0,639.0,3.0,69181.0,3.0,168846.0,3.0,4366964.0,3.0,8467.0,3.0,1654904.0,3.0
KR_8159155040,Gnar,Vi,Annie,Yunara,Lulu,Darius,Nocturne,Viktor,Kalista,Neeko,1,168919.0,3.0,28409.0,3.0,1903081.0,3.0,265997.0,3.0,10727.0,3.0,3390884.0,3.0,151405.0,3.0,698820.0,3.0,171694.0,3.0,2493.0,3.0
KR_8158682265,Nasus,Briar,Lissandra,Kaisa,Nautilus,Darius,Pantheon,Ryze,Ezreal,Neeko,0,701639.0,3.0,525817.0,3.0,14459.0,3.0,205460.0,3.0,47203.0,3.0,3390884.0,3.0,55365.0,3.0,40862.0,3.0,389060.0,3.0,13050.0,3.0
KR_8158088589,Zaahen,DrMundo,Orianna,Ezreal,Yuumi,Darius,Ambessa,Syndra,Lucian,Nami,0,492446.0,3.0,6698.0,3.0,528591.0,3.0,149214.0,3.0,16964.0,3.0,3390884.0,3.0,21334.0,3.0,79909.0,3.0,92274.0,3.0,561496.0,3.0
KR_8158062474,Darius,Pantheon,Akali,Yunara,Anivia,DrMundo,Brand,Tristana,Aphelios,Nautilus,1,3390884.0,3.0,345726.0,3.0,80668.0,3.0,275227.0,3.0,32557.0,3.0,4593.0,3.0,653.0,3.0,3915.0,3.0,540451.0,3.0,182699.0,3.0
KR_8157755043,Jayce,Nocturne,Azir,Mel,Pyke,Jax,Naafiri,Orianna,Yunara,Rakan,1,559324.0,3.0,40755.0,3.0,367138.0,3.0,28980.0,3.0,246145.0,3.0,677267.0,3.0,70658.0,3.0,149863.0,3.0,406595.0,3.0,263511.0,3.0
KR_8157736876,Gragas,Ambessa,Ryze,Zeri,Lulu,Aurora,Naafiri,Qiyana,Ezreal,Karma,0,22198.0,3.0,39343.0,3.0,98977.0,3.0,133121.0,3.0,51791.0,3.0,179212.0,3.0,246193.0,3.0,31832.0,3.0,213791.0,3.0,86003.0,3.0
KR_8157732003,Vayne,Fizz,Gnar,Ezreal,Karma,Jayce,LeeSin,Ahri,Sivir,Yuumi,1,42374.0,3.0,27275.0,3.0,72432.0,3.0,32236.0,3.0,88862.0,3.0,124066.0,3.0,10069.0,3.0,82145.0,3.0,36755.0,3.0,9336.0,3.0
